Formula,REFERENCE: doi,PROPERTY: BCC,PROPERTY: FCC,PROPERTY: HCP,PROPERTY: B2,PROPERTY: Im,PROPERTY: Multiphase,PROPERTY: Not_HEA,PROPERTY: Density (gm/cm^3),PROPERTY: RM_Density (gm/cm^3),PROPERTY: Vickers (HV),PROPERTY: Yield (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Modulus (GPa),PROPERTY: RM_Modulus (GPa)
CoFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.5,125,204,,,,207
CoFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.5,125,209,,,,207
CoFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.5,,211,513,31,,207
CoFeNiSi0.25,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,149,196,,,,194
CoFeNiSi0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,287,476,,,,
CoFeNiSi0.75,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.6,570,1301,,,,
Al0.25CoFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.9,138,158,,,,196
Al0.5CoFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.4,212,346,,,,187
Al0.75CoFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,385,794,,,,179
CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.2,,148,413,48,,225
CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.2,116,,,,,225
CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.2,113,,,,,225
CoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.5,210,,,,,
CoCrFeNb0.103Ni,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.2,,318,622,19,,
CoCrFeNb0.155Ni,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.2,,322,744,23,,
CoCrFeNb0.206Ni,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.2,,403,807,9,,
CoCrFeNb0.309Ni,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.2,,479,879,4,,
CoCrFeNb0.412Ni,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.2,,638,1004,1,,
CoCrFeNiTi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.2,,,2020,9,135,203
Co1.5CrFeNi1.5Ti0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,509,,,,,211
Co1.5CrFeNi1.5Ti,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.4,654,,,,,
Al0.25CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,110,,,,,216
Al0.25CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,113,,,,,216
Al0.375CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.5,131,,,,,211
Al0.375CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.5,196,,,,,211
Al0.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.3,159,,,,,208
Al0.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.3,209,,,,,208
Al0.7Co0.3CrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,6.8,624,2033,2635,8,,
Al0.75CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,388,,,,,200
Al0.75CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,280,,,,,200
Al0.875CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.9,,,,,,197
Al0.875CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.9,538,,,,,197
Al0.875CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.9,361,,,,,197
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,484,,,,,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.7,433,,,,,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,395,,,,,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,,1251,2004,33,,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,,1051,,,,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,,1110,,,,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,,1138,,,125,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,,1138,,11,125,194
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,,1051,,,,194
