Formula,REFERENCE: doi,PROPERTY: BCC,PROPERTY: FCC,PROPERTY: HCP,PROPERTY: B2,PROPERTY: Im,PROPERTY: Multiphase,PROPERTY: Not_HEA,PROPERTY: Density (gm/cm^3),PROPERTY: RM_Density (gm/cm^3),PROPERTY: Vickers (HV),PROPERTY: Yield (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Modulus (GPa),PROPERTY: RM_Modulus (GPa)
AlCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.7,520,1373,3531,25,,194
Al1.25CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.5,487,,,,,188
Al1.25CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.5,499,,,,,188
Al1.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.2,484,,,,,183
Al1.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.2,517,,,,,183
Al1.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.2,402,,,,,183
Al2CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.9,509,,,,,173
Al2CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.9,512,,,,,173
Al2CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.9,432,,,,,173
Al2.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.6,487,,,,,165
Al3CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.3,506,,,,,158
AlC0.1CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.7,,957,2550,11,213,
AlC0.2CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,,906,2386,9,151,
AlC0.3CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,,867,2178,8,137,
AlC0.4CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,,1056,2375,7,156,
AlC0.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,,1060,2250,6,181,
AlCCoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.9,,1251,2166,7,75,
AlC1.5CoCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,,1255,2083,6,73,
Al0.5CoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.7,425,,,,,
AlCo0.5CrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,801,,,,,
AlCoCrFe0.5Mo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,755,,,,,
AlCoCrFe0.6Mo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,754,,,,,
AlCoCrFeMo0.1Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.8,,1804,2280,9,,196
AlCoCrFeMo0.2Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.9,,2456,2953,3,,
AlCoCrFeMo0.3Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,,2649,3208,3,,
AlCoCrFeMo0.4Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,,2670,3161,3,,
AlCoCrFeMo0.5Ni0.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,708,,,,,
AlCoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,,2757,3036,3,,
AlCoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,796,,,,,
AlCoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,715,,,,,
AlCoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.1,730,,,,,
AlCoCrFeMo0.5Ni1.5,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.2,586,,,,,
AlCoCrFeMo0.5Ni2,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.4,395,,,,,
AlCo1.5CrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.2,741,,,,,
AlCo2CrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.3,586,,,,,
AlCoCrFe1.5Mo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.2,635,,,,,
AlCoCrFe2Mo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.2,639,,,,,
Al1.5CoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.6,655,,,,,
Al2CoCrFeMo0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.3,605,,,,,185
AlCoCrFeNb0.1Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.8,569,1641,3285,17,,192
AlCoCrFeNb0.25Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,668,1959,3008,11,,
AlCoCrFeNb0.5Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,747,2473,3170,4,,
AlCoCrFeNb0.75Ni,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,,,,,,
AlCoCrFeNiSi0.2,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.5,,1265,2173,14,,188
AlCoCrFeNiSi0.4,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.2,,1481,2444,13,,183
AlCoCrFeNiSi0.6,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,,1834,2195,3,,178
AlCoCrFeNiSi0.8,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,5.8,,2179,2664,2,,
AlCoCrFeNiSi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.7,,1110,,,,169
AlCoCrFeNiSi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,5.7,,2411,2950,1,,
Al0.2Co1.5CrFeNi1.5Ti0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.6,487,,,,,206
Al0.2Co1.5CrFeNi1.5Ti,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.2,717,,,,,
Al0.5CoCrFeNiTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.6,,,1600,10,107,
AlCoCrFeNiTi0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.4,178,2040,3135,24,72,187
AlCoCrFeNiTi0.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.4,178,2260,3140,23,178,187
AlCoCrFeNiTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.2,,1860,2580,9,90,181
AlCoCrFeNiTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.2,,,2280,6,148,
AlCoCrFeNiTi1.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.1,,2220,2720,5,160,
Al1.5CoCrFeNiTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.9,,,2110,10,133,172
Al2CoCrFeNiTi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.6,643,,1030,5,94,165
AlCoCrFeNiTiVZr,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.3,780,,,,,
CoCrFeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,176,208,,62,,219
CoCrFeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,144,230,,75,,219
CoCrFeMnNiV0.25,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.9,151,200,,75,,215
CoCrFeMnNiV0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,186,620,,75,,211
CoCrFeMnNiV0.75,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.7,342,740,1325,8,,
CoCrFeMnNiV1.0,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.7,650,1660,1845,< 1,,
Al0.10CoCrFeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.9,180,,,,,216
Al0.20CoCrFeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,171,220,,56,,214
Al0.38CoCrFeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.5,182,244,,45,,209
Al0.43CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.4,183,285,,35,,208
Al0.49CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.4,220,331,,29,,206
Al0.56CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.3,278,526,,16,,204
Al0.62CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.2,405,833,,5,,203
Al0.68CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.2,486,,,,,202
Al0.75CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.1,530,,,,,200
Al0.81CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,539,,,,,199
Al0.88CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,533,,,,,197
Al0.95CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.9,535,,,,,196
Al1.25CoCrFeMnNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.6,539,,,,,190
CoCrNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.3,,300,860,60,,229
CoMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.4,,231,653,38,,202
FeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.1,,221,602,36,,203
CoCrFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.2,,274,708,39,,225
CoCrMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.1,,282,694,44,,222
CoFeMnNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.2,,170,550,41,,205
Al0.5CrFe1.5MnNi0.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,396,,,,,206
Al0.3CrFe1.5MnNi0.5,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.2,297,,,,,213
AlCoCrFeMo0.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,6.8,857,,,,,
AlCrFeNi,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.3,472,1406,2927,29,,190
AlCrFeNiMo0.2,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.5,549,1487,3222,29,,197
AlCrFeNiMo0.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.8,622,1749,2644,13,,205
AlCrFeNiMo0.8,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7,854,1513,1513,< 1,,
AlCrFeNiMo,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.2,905,,,,,
CoCrCuFe,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.2,134,,,,,206
Al0.3CoCrCuFe,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.7,180,,,,,194
Al0.5CoCrCuFe,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.4,207,,,,,187
Al0.8CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,271,,,,,177
AlCoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.8,407,,,,,172
Al1.3CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.5,476,,,,,165
Al1.5CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6.3,510,,,,,167
Al1.8CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,6,557,,,,,155
Al2.0CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,5.9,567,,,,,152
Al2.3CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,5.7,603,,,,,147
Al2.5CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,5.6,624,,,,,144
Al2.8CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.5,657,,,,,140
Al3.0CoCrCuFe,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.4,644,,,,,138
CoCrCu0.5FeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.3,172,,,,,214
CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.3,132,230,,,56,206
CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.3,286,230,888,51,56,206
CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.3,286,,,,,206
CoCrCuFeNiTi0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,,700,1650,29,93,198
CoCrCuFeNiTi0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,,700,1650,22,99,198
CoCrCuFeNiTi0.8,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.6,,1042,1848,3,128,128
CoCrCuFeNiTi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.4,,1272,1272,2,77,191
Al0.25CoCrCu0.5FeNiTi0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.4,,,,,,198
Al0.25CoCrCu0.75FeNiTi0.5,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.5,,750,1970,39,103,195
Al0.3CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.9,180,,,,,198
Al0.5CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.6,210,388,,,,193
Al0.5CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.6,300,,,,,193
Al0.5CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.6,225,,,,,193
Al0.5CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.6,215,,,,,193
Al0.8CoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.3,270,,,,,187
Al0.8CoCrCuFeNi,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,270,,,,,187
AlCoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.1,406,950,,,,183
AlCoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.1,472,,,,,184
AlCoCrCuFeNi,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,7.1,,1303,,24,,183
